kdpsttbpst,kdjentbpst,nmpsttbpst,kdbiltbpst,kdgrutbpst,kdasntbpst,nomortbpst
63521,F,PERPAJAKAN,G,,S,
63611,G,ADMINISTRASI BISNIS,G,,S,
63612,G,SEKRETARI,G,,S,
63621,G,PERPAJAKAN,G,,S,
64101,B,ILMU HUBUNGAN INTERNASIONAL,G,,S,313
64201,C,HUBUNGAN INTERNASIONAL,G,,S,314
64401,E,HUBUNGAN INTERNASIONAL,G,,S,
65001,A,ILMU PEMERINTAHAN,G,,S,315
65101,B,ILMU PEMERINTAHAN,G,,S,316
65201,C,ILMU PEMERINTAHAN,G,,S,317
65301,D,ADMINISTRASI PEMERINTAHAN,G,,S,
65401,E,ADMINISTRASI PEMERINTAHAN,G,,S,318
66001,A,KRIMINOLOGI,G,,S,
66101,B,KRIMINOLOGI,G,,S,319
66201,C,KRIMINOLOGI,G,,S,320
67001,A,ILMU POLITIK,G,,S,321
67101,B,ILMU POLITIK,G,,S,322
67201,C,ILMU POLITIK,G,,S,323
68001,A,ILMU SOSIAL,G,,S,324
68101,B,ILMU SOSIAL,G,,S,325
68201,C,ILMU SOSIATRI,G,,S,326
68401,E,PEMBANGUNAN MASYARAKAT DESA,G,,S,
69001,A,ILMU SOSIOLOGI,G,,S,327
69101,B,SOSIOLOGI,G,,S,328
69201,C,SOSIOLOGI,G,,S,329
70001,A,ILMU KOMUNIKASI,G,,S,330
70101,B,ILMU KOMUNIKASI,G,,S,331
70201,C,ILMU KOMUNIKASI,G,,S,332
70302,D,JURNALISTIK,G,,S,
70401,E,HUBUNGAN MASYARAKAT,G,,S,333
70402,E,JURNALISTIK,G,,S,334
70403,E,KOMUNIKASI MASSA,G,,S,335
70404,E,PERIKLANAN,G,,S,
70405,E,PENYIARAN,G,,S,
71101,B,ILMU PERPUSTAKAAN,G,,S,336
71201,C,ILMU PERPUSTAKAAN,G,,S,337
71302,D,KEARSIPAN,G,,S,
71401,E,PERPUSTAKAAN,G,,S,338
71402,E,KEARSIPAN,G,,S,339
71501,F,PERPUSTAKAAN,G,,S,
72001,A,ILMU KESEJAHTERAAN SOSIAL,G,,S,
72101,B,ILMU KESEJAHTERAAN SOSIAL,G,,S,340
72201,C,ILMU KESEJAHTERAAN SOSIAL,G,,S,341
72401,E,PEKERJA SOSIAL,G,,S,342
73001,A,ILMU PSIKOLOGI,H,,S,343
73101,B,PSIKOLOGI,H,,S,344
73201,C,PSIKOLOGI,H,,S,345
74001,A,ILMU HUKUM,I,,S,346
74101,B,ILMU HUKUM,I,,S,347
74102,B,KENOTARIATAN,I,,S,348
74201,C,ILMU HUKUM,I,,S,349
74401,E,ADMINISTRASI PERADILAN,I,,S,350
75001,A,ILMU FILSAFAT,J,,S,351
75101,B,ILMU FILSAFAT,J,,S,352
75201,C,ILMU FILSAFAT,J,,S,353
75401,E,FILSAFAT TEOLOGI,J,,S,
76001,A,ILMU RELIGI,J,,S,354
76101,B,ILMU RELIGI,J,,S,355
76201,C,ILMU RELIGI,J,,S,356
77001,A,ILMU TEOLOGI,J,,S,357
77101,B,ILMU TEOLOGI,J,,S,358
77201,C,ILMU TEOLOGI,J,,S,359
79001,A,ILMU SUSASTRA,K,,S,360
79002,A,ILMU LINGUISTIK,K,,S,362
79101,B,ILMU SUSASTRA,K,,S,361
79102,B,ILMU LINGUISTIK,K,,S,363
79103,B,BAHASA INGGRIS,K,,S,
79201,C,SASTRA INDONESIA,K,,S,364
79202,C,SASTRA INGGRIS,K,,S,365
79203,C,SASTRA ARAB,K,,S,366
79204,C,SASTRA JEPANG,K,,S,367
79205,C,SASTRA PERANCIS,K,,S,368
79206,C,SASTRA JERMAN,K,,S,369
79207,C,SASTRA RUSIA,K,,S,370
79208,C,SASTRA BELANDA,K,,S,371
79209,C,SASTRA CINA,K,,S,372
79210,C,SASTRA KOREA,K,,S,373
79211,C,SASTRA DAERAH,K,,S,374
79401,E,BAHASA INDONESIA,K,,S,375
79402,E,BAHASA INGGRIS,K,,S,376
79403,E,BAHASA ARAB,K,,S,377
79404,E,BAHASA JEPANG,K,,S,378
79405,E,BAHASA PERANCIS,K,,S,379
79406,E,BAHASA JERMAN,K,,S,380
79407,E,BAHASA RUSIA,K,,S,381
79408,E,BAHASA BELANDA,K,,S,382
79409,E,BAHASA MANDARIN,K,,S,383
79410,E,BAHASA KOREA,K,,S,
79502,F,BAHASA INGGRIS,K,,S,
79602,G,BAHASA INGGRIS,K,,S,
79604,G,BAHASA JEPANG,K,,S,
79608,G,BAHASA BELANDA,K,,S,
80001,A,ILMU SEJARAH,K,,S,384
80101,B,ILMU SEJARAH,K,,S,385
80201,C,ILMU SEJARAH,K,,S,386
81001,A,ILMU ARKEOLOGI,K,,S,387
81101,B,ILMU ARKEOLOGI,K,,S,388
81201,C,ILMU ARKEOLOGI,K,,S,389
82001,A,ILMU ANTROPOLOGI,K,,S,390
82101,B,ANTROPOLOGI,K,,S,391
82201,C,ANTROPOLOGI SOSIAL,K,,S,392
83001,A,PENDIDIKAN TEKNOLOGI DAN KEJURUAN,L,Y,S,393
83101,B,PENDIDIKAN TEKNOLOGI DAN KEJURUAN,L,Y,S,394
83201,C,PENDIDIKAN TEKNIK ELEKTRO,L,Y,S,395
83202,C,PENDIDIKAN TEKNIK ELEKTRONIKA,L,Y,S,396
83203,C,PENDIDIKAN TEKNIK MESIN,L,Y,S,397
83204,C,PENDIDIKAN TEKNIK OTOMOTIF,L,Y,S,398
83205,C,PENDIDIKAN TEKNIK BANGUNAN,L,Y,S,399
83206,C,PENDIDIKAN KESEJAHTERAAN KELUARGA,L,Y,S,400
83207,C,PENDIDIKAN TEKNIK INFORMATIKA,L,Y,S,
83211,C,PENDIDIKAN TATA BOGA,L,Y,S,
83212,C,PENDIDIKAN TATA BUSANA,L,Y,S,
83213,C,PENDIDIKAN TATA RIAS,L,Y,S,
83313,D,PENDIDIKAN TATA RIAS,L,Y,S,
84001,A,PENDIDIKAN MIPA,L,Y,A,401
84002,A,PENDIDIKAN MATEMATIKA,L,Y,A,
84005,A,PENDIDIKAN BIOLOGI,L,Y,A,
84101,B,PENDIDIKAN IPA,L,Y,A,402
84102,B,PENDIDIKAN MATEMATIKA,L,Y,A,404
84103,B,PENDIDIKAN FISIKA,L,Y,A,406
84104,B,PENDIDIKAN KIMIA,L,Y,A,408
84105,B,PENDIDIKAN BIOLOGI,L,Y,A,410
84201,C,PENDIDIKAN IPA,L,Y,A,403
84202,C,PENDIDIKAN MATEMATIKA,L,Y,A,405
84203,C,PENDIDIKAN FISIKA,L,Y,A,407
84204,C,PENDIDIKAN KIMIA,L,Y,A,409
84205,C,PENDIDIKAN BIOLOGI,L,Y,A,411
84402,E,PENDIDIKAN MATEMATIKA,L,Y,A,
84403,E,PENDIDIKAN FISIKA,L,Y,A,
84405,E,PENDIDIKAN BIOLOGI,L,Y,A,
85001,A,PENDIDIKAN OLAHRAGA,L,Y,A,412
85101,B,PENDIDIKAN OLAHRAGA,L,Y,A,413
"85201,C,""PENDIDIKAN JASMANI, KESEHATAN DAN REKREASI"",L,Y,A,414"
85202,C,PENDIDIKAN KEPELATIHAN OLAHRAGA,L,Y,A,415
"85401,E,""PENDIDIKAN JASMANI, KESEHATAN DAN REKREASI"",L,Y,A,"
85501,F,PENDIDIKAN GURU PENJASKESREK,L,Y,A,
86001,A,ILMU PENDIDIKAN,L,,S,416
86003,A,TEKNOLOGI PENDIDIKAN,L,,S,
86004,A,ADMINISTRASI PENDIDIKAN,L,,S,
86005,A,PENDIDIKAN LUAR SEKOLAH,L,,S,
86011,A,PSIKOLOGI PENDIDIKAN,L,,S,
86020,A,PENELITAN DAN EVALUASI PENDIDIKAN,L,,S,
86021,A,PENGEMBANGAN KURIKULUM,L,,S,
86101,B,BIMBINGAN KONSELING,L,,S,419
86102,B,PENDIDIKAN LUAR BIASA,L,,S,421
86103,B,TEKNOLOGI PENDIDIKAN,L,,S,423
86104,B,ADMINISTRASI PENDIDIKAN,L,,S,425
86105,B,PENDIDIKAN LUAR SEKOLAH,L,Y,S,427
86106,B,PENDIDIKAN GURU SEKOLAH DASAR,L,Y,S,429
86107,B,PENDIDIKAN GURU PENDIDIKAN ANAK USIA DINI,L,Y,S,431
86108,B,PENDIDIKAN GURU AGAMA,L,Y,S,433
86120,B,PENELITIAN DAN EVALUASI PENDIDIKAN,L,,S,417
86121,B,PENGEMBANGAN KURIKULUM,L,,S,418
86122,B,PENDIDIKAN DASAR,L,Y,S,
86201,C,BIMBINGAN KONSELING,L,,S,420
86202,C,PENDIDIKAN LUAR BIASA,L,Y,S,422
86203,C,TEKNOLOGI PENDIDIKAN,L,,S,424
86204,C,ADMINISTRASI PENDIDIKAN,L,,S,426
86205,C,PENDIDIKAN LUAR SEKOLAH,L,Y,S,428
86206,C,PENDIDIKAN GURU SEKOLAH DASAR,L,Y,S,430
86207,C,PENDIDIKAN GURU PENDIDIKAN ANAK USIA DINI,L,Y,S,432
86208,C,PENDIDIKAN GURU AGAMA,L,Y,S,434
86209,C,PJJ PENDIDIKAN GURU SEKOLAH DASAR,L,Y,S,
86408,E,PENDIDIKAN GURU AGAMA,L,Y,S,
86506,F,PENDIDIKAN GURU SEKOLAH DASAR,L,Y,S,
86507,F,PENDIDIKAN GURU TAMAN KANAK-KANAK,L,Y,S,
87001,A,PENDIDIKAN IPS,L,Y,S,435
87003,A,PENDIDIKAN EKONOMI,L,Y,S,
87101,B,PENDIDIKAN SEJARAH,L,Y,S,437
87102,B,PENDIDIKAN GEOGRAFI,L,Y,S,439
87103,B,PENDIDIKAN EKONOMI,L,Y,S,441
87104,B,PENDIDIKAN SOSIOLOGI,L,Y,S,443
87120,B,PENDIDIKAN IPS,L,Y,S,436
87201,C,PENDIDIKAN SEJARAH,L,Y,S,438
87202,C,PENDIDIKAN GEOGRAFI,L,Y,S,440
87203,C,PENDIDIKAN EKONOMI,L,Y,S,442
87204,C,PENDIDIKAN SOSIOLOGI,L,Y,S,444
87205,C,PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN,L,Y,S,445
87220,C,PENDIDIKAN IPS,L,Y,S,
87402,E,PENDIDIKAN GEOGRAFI,L,Y,S,
87403,E,PENDIDIKAN EKONOMI,L,Y,S,
88001,A,ILMU PENDIDIKAN BAHASA,L,Y,S,446
88003,A,PENDIDIKAN BAHASA INGGRIS,L,Y,S,
88101,B,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,L,Y,S,447
88102,B,PENDIDIKAN BAHASA DAN SASTRA DAERAH,L,Y,S,449
88103,B,PENDIDIKAN BAHASA INGGRIS,L,Y,S,451
88104,B,PENDIDIKAN BAHASA ARAB,L,Y,S,453
88105,B,PENDIDIKAN BAHASA JEPANG,L,Y,S,455
88106,B,PENDIDIKAN BAHASA PERANCIS,L,Y,S,457
88107,B,PENDIDIKAN BAHASA JERMAN,L,Y,S,459
88108,B,PENDIDIKAN BAHASA MANDARIN,L,Y,S,461
"88109,B,""PENDIDIKAN SENI DRAMA, TARI DAN MUSIK"",L,Y,S,463"
88110,B,PENDIDIKAN SENI RUPA,L,Y,S,465
88111,B,PENDIDIKAN BAHASA,L,Y,S,
88201,C,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,L,Y,S,448
88202,C,PENDIDIKAN BAHASA DAN SASTRA DAERAH,L,Y,S,450
88203,C,PENDIDIKAN BAHASA INGGRIS,L,Y,S,452
88204,C,PENDIDIKAN BAHASA ARAB,L,Y,S,454
88205,C,PENDIDIKAN BAHASA JEPANG,L,Y,S,456
88206,C,PENDIDIKAN BAHASA PERANCIS,L,Y,S,458
88207,C,PENDIDIKAN BAHASA JERMAN,L,Y,S,460
88208,C,PENDIDIKAN BAHASA MANDARIN,L,Y,S,462
"88209,C,""PENDIDIKAN SENI DRAMA, TARI DAN MUSIK"",L,Y,S,464"
88210,C,PENDIDIKAN SENI RUPA,L,Y,S,466
88401,E,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,L,Y,S,
88403,E,PENDIDIKAN BAHASA INGGRIS,L,Y,S,
88405,E,PENDIDIKAN BAHASA JEPANG,L,Y,S,
88501,F,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,L,Y,S,
89001,A,ILMU KEOLAHRAGAAN,L,,S,467
89101,B,ILMU KEOLAHRAGAAN,L,,S,468
89201,C,ILMU KEOLAHRAGAAN,L,,S,469
90001,A,SENI RUPA,M,,S,470
90101,B,SENI RUPA,M,,S,471
90102,B,DESAIN,M,,S,481
90131,B,DESAIN PRODUK,M,,S,
90201,C,SENI RUPA MURNI,M,,S,472
90211,C,KRIYA SENI,M,,S,474
90221,C,DESAIN INTERIOR,M,,S,482
90231,C,DESAIN PRODUK,M,,S,484
90241,C,DESAIN KOMUNIKASI VISUAL,M,,S,486
90242,C,DESAIN GRAFIS,M,,S,488
90331,D,DESAIN PRODUK,G,,S,
90342,D,DESAIN GRAFIS,M,,S,
90343,D,KOMPUTER MULTIMEDIA,M,,S,
90344,D,TEKNIK GRAFIKA,M,,S,
90401,E,SENI RUPA,M,,S,473
90411,E,KRIYA KAIN,M,,S,475
90412,E,KRIYA KAYU,M,,S,476
90413,E,KRIYA KERAMIK,M,,S,477
90414,E,KRIYA LOGAM,M,,S,478
90415,E,KRIYA KULIT,M,,S,479
90416,E,KRIYA PERHIASAN,M,,S,480
90417,E,KRIYA SENI,M,,S,
90421,E,DESAIN INTERIOR,M,,S,483
90431,E,DESAIN PRODUK,M,,S,485
90441,E,DESAIN KOMUNIKASI VISUAL,M,,S,487
90442,E,DESAIN GRAFIS,M,,S,489
90443,E,KOMPUTER MULTIMEDIA,M,,S,
90444,E,TEKNIK GRAFIKA,M,,S,
90501,F,SENI RUPA,M,,S,
90541,F,DESAIN KOMUNIKASI VISUAL,M,,S,
90621,G,DESAIN INTERIOR,M,,S,
90641,G,DESAIN KOMUNIKASI VISUAL,M,,S,
91001,A,PENCIPTAAN DAN PENGKAJIAN SENI,M,,S,
91101,B,PENCIPTAAN DAN PENGKAJIAN SENI,M,,S,490
91201,C,ETNOMUSIKOLOGI,M,,S,491
91202,C,ANTROPOLOGI TARI,M,,S,492
91211,C,SENI KARAWITAN,M,,S,493
91221,C,SENI MUSIK,M,,S,495
91231,C,SENI TARI,M,,S,497
91241,C,SENI PEDALANGAN,M,,S,499
91251,C,SENI TEATER,M,,S,501
91261,C,TELEVISI DAN FILM,M,,S,503
91271,C,FOTOGRAFI,M,,S,505
91281,C,RADIO,M,,S,507
91411,E,SENI KARAWITAN,M,,S,494
91421,E,SENI MUSIK,M,,S,496
91431,E,SENI TARI,M,,S,498
91441,E,SENI PEDALANGAN,M,,S,500
91451,E,SENI TEATER,M,,S,502
91461,E,TELEVISI,M,,S,504
91462,E,FILM,M,,S,
91471,E,FOTOGRAFI,M,,S,506
91481,E,RADIO,M,,S,508
91511,F,SENI KARAWITAN,M,,S,
91531,F,PENATA TARI,M,,S,
91661,G,FILM DAN TELEVISI,M,,S,
92201,C,KETATALAKSANAAN PELAYARAN NIAGA DAN KEPELABUHAN,N,,S,
92301,D,KETATALAKSANAAN PELAYARAN NIAGA DAN KEPELABUHAN,N,,S,509
92401,E,KETATALAKSANAAN PELAYARAN NIAGA DAN KEPELABUHAN,N,,S,510
92402,E,TEKNIKA,N,,S,511
92403,E,NAUTIKA,N,,S,512
93201,C,USAHA PERJALANAN WISATA,N,,S,
93202,C,PERHOTELAN DAN PARIWISATA,N,,S,
93301,D,USAHA PERJALANAN WISATA,N,,S,513
93302,D,PERHOTELAN,N,,S,514
93303,D,PARIWISATA,N,,S,
93401,E,USAHA PERJALANAN WISATA,N,,S,515
93402,E,PERHOTELAN,N,,S,516
93403,E,PARIWISATA,N,,S,
93501,F,PEMANDU WISATA,N,,S,
93502,F,PERHOTELAN,N,,S,
93503,F,DIVISI KAMAR,N,,S,
93601,G,PEMANDU WISATA,N,,S,
93602,G,PERHOTELAN,N,,S,
93603,G,DIVISI KAMAR,N,,S,
94101,B,AKTUARIA,N,,S,
94401,E,ASURANSI JIWA,N,,S,517
94402,E,ASURANSI KESEHATAN,N,,S,518
94403,E,ASURANSI KERUGIAN,N,,S,519
94404,E,TERAPI WICARA,N,,S,520
94405,E,TATA BUSANA,N,,S,521
94406,E,TATA BOGA,N,,S,522
94407,E,TATA GRIYA,N,,S,523
94408,E,TATA RIAS,N,,S,524
94409,E,ADMINISTRASI ASURANSI DAN AKTUARIA,N,,S,
94505,F,TATA BUSANA,N,,S,
94506,F,TATA HIDANGAN,N,,S,
94507,F,TATA BOGA,N,,S,
94508,F,TATA RIAS,N,,S,
94605,G,TATA BUSANA,N,,S,
94606,G,TATA HIDANGAN,N,,S,
94607,G,TATA BOGA,N,,S,
94608,G,TATA RIAS,N,,S,
94609,G,GROUND HANDLING,N,,S,
94610,G,PRAMUGARI-PRAMUGARA,N,,S,
94611,G,CARGO UDARA,N,,S,
95001,A,ILMU PENGELOLAAN SUMBER DAYA ALAM DAN LINGKUNGA,N,,S,
95002,A,KAJIAN KEPENDUDUKAN DAN KETENAGAKERJAAN,N,,S,
95003,A,ILMU PERENC PEMBANGUNAN WILAYAH DAN PEDESAAN,N,,S,
95027,A,KAJIAN BUDAYA,N,,S,
95029,A,KAJIAN ILMU LINGKUNGAN,N,,S,
95031,A,ILMU-ILMU HUMANIORA,N,,S,
95101,B,ILMU PENGELOLAAN SUMBER DAYA ALAM DAN LINGKUNGA,N,,S,
95102,B,KAJIAN KEPENDUDUKAN DAN KETENAGAKERJAAN,N,,S,
95103,B,ILMU PERENC PEMBANGUNAN WILAYAH DAN PEDESAAN,N,,S,
95104,B,KAJIAN PARIWISATA,N,,S,
95105,B,ADMINISTRASI PEMBANGUNAN,N,,S,
95106,B,PENGEMBANGAN SUMBER DAYA MANUSIA,N,,S,
95107,B,STUDI KEBIJAKAN,N,,S,
95120,B,KAJIAN ILMU KEPOLISIAN,N,,S,
95121,B,KAJIAN WILAYAH AMERIKA,N,,S,
95122,B,KAJIAN WILAYAH JEPANG,N,,S,
95123,B,KAJIAN WILAYAH EROPA,N,,S,
95124,B,KAJIAN TIMUR TENGAH DAN ISLAM,N,,S,
95125,B,KAJIAN PENGEMBANGAN PERKOTAAN,N,,S,
95126,B,KAJIAN WANITA,N,,S,
95127,B,KAJIAN BUDAYA,N,,S,
95128,B,KAJIAN KETAHANAN NASIONAL,N,,S,
95129,B,KAJIAN ILMU LINGKUNGAN,N,,S,
95130,B,JENDER DAN PEMBANGUNAN,N,,S,
95203,C,PEMBANGUNAN WILAYAH,N,,S,
95403,E,PERENCANAAN DAN MONITORING PEMBANGUNAN,N,,S,
EKI,C,EKONOMI ISLAM,,,,
