kdpsttbpst,kdjentbpst,nmpsttbpst,kdbiltbpst,kdgrutbpst,kdasntbpst,nomortbpst
20002,A,OPTO ELEKTRONIKA LASER,B,,A,078
20101,B,TEKNIK ELEKTRO,B,,A,079
20102,B,OPTO ELEKTRONIKA LASER,B,,A,080
20103,B,INSTRUMENTASI DAN KONTROL,B,,A,
20201,C,TEKNIK ELEKTRO,B,,A,081
20301,D,TEKNIK ELEKTRONIKA,B,,A,082
20302,D,TEKNIK TELEKOMUNIKASI,B,,A,083
20303,D,TEKNIK LISTRIK,B,,A,084
20304,D,TEKNIK TELEKOMUNIKASI NIRKABEL,B,,A,
20401,E,TEKNIK ELEKTRONIKA,B,,A,085
20402,E,TEKNIK TELEKOMUNIKASI,B,,A,086
20403,E,TEKNIK LISTRIK,B,,A,087
20501,F,ELEKTRONIKA,B,,A,
20601,G,ELEKTRONIKA,B,,A,
20602,G,TELEKOMUNIKASI,B,,A,
20603,G,TEKNIK LISTRIK,B,,A,
21001,A,ILMU TEKNIK MESIN,B,,A,088
21101,B,TEKNIK MESIN,B,,A,089
21201,C,TEKNIK MESIN,B,,A,090
21301,D,TEKNIK MESIN PRODUKSI DAN PERAWATAN,B,,A,091
21303,D,TEKNIK OTOMOTIF ELEKTRONIK,B,,A,
21306,D,TEKNIK KONSERVASI KONVERSI ENERGI,B,,A,
21307,D,TEKNIK MANUFAKTUR,B,,,
21312,D,TEKNIK MEKATRONIKA,B,,A,
21401,E,TEKNIK MESIN,B,,A,092
21402,E,MESIN INDUSTRI,B,,A,093
21403,E,MESIN OTOMOTIF,B,,A,094
21404,E,MESIN PERKAKAS,B,,A,095
21405,E,TEKNIK PENDINGIN DAN TATA UDARA,B,,A,096
21406,E,TEKNIK KONVERSI ENERGI,B,,A,097
21407,E,TEKNIK MANUFAKTUR,B,,A,098
21408,E,PERAWATAN DAN PERBAIKAN MESIN,B,,A,099
21409,E,PERANCANGAN MEKANIK,B,,A,100
21410,E,PENGECORAN LOGAM,B,,A,101
21411,E,TEKNIK PERANCANGAN MANUFAKTUR,B,,A,102
21412,E,TEKNIK MEKATRONIKA,B,,A,103
21413,E,ALAT BERAT,B,,A,
21414,E,POLA PENGECORAN,B,,A,
21501,F,TEKNIK MESIN,B,,A,
21601,G,TEKNIK MESIN,B,,A,
